存货编号,规格型号,期末
623.0,G-SPEL10-90-P9.1W5.1-R1.0,1.0
624.0,EKSD20-20-P10.20,2.0
625.0,G-SPEL13-100-P10.06-W8.06,1.0
626.0,G-SPEL13-65-12.7-W7.1,2.0
627.0,G-SPEL13-70-P12.1-W7.0,2.0
628.0,G-SPEL13-80-P7.55-W6.05,2.0
629.0,G-SPEL13-82-P10-W8.1,1.0
630.0,G-SPEL13-86-P7.68-W7.18,1.0
632.0,G-SPEL13-LC86-P7.68-W7.18,3.0
633.0,G-SPEL13-LC87-P9-W7,1.0
634.0,G-SPEL16-65-P13-W9,1.0
635.0,G-SPEL16-65-P14.05-W9.55,1.0
636.0,G-SPEL16-65-P14.05-W9.55,1.0
637.0,G-SPEL16-80-P10.5-W8.5,1.0
638.0,G-SPEL16-90-P12.1-W7.05,1.0
639.0,G-SPEL16-LC65-P11.08-W9.08,2.0
640.0,G-SPEL16-LC65-P13.15-W8.65,1.0
641.0,G-SPEL16-LC82-P12.06-W7.06,1.0
642.0,G-SPEL16-LC85-P12.08-W7.08,2.0
643.0,G-SPEL16-LC95-P14.36-W12.08,2.0
644.0,G-SPES10-60-P6.05-W5.55-SKC,1.0
645.0,G-SPES10-80-P8.58-W7.08,1.0
646.0,G-SPES13-50.00-P12.06-W7.06,1.0
647.0,G-SPES13-50-P12.06-W7.06,1.0
648.0,G-SPES13-LC65.00-P12.80-W6.58,1.0
649.0,G-SPES13-LC65.00-P12.80-W6.58,1.0
650.0,G-SPES13-LC65-P12.08-W6.58,1.0
651.0,G-SPES16-60-P12.6-W9.2,4.0
652.0,G-SPES16-LC44.50-P12.40-W7.18,2.0
653.0,G-SPEX10-LC77-P4.2-W6.21,1.0
654.0,EKDE25-20-P14.45-W10.3,2.0
655.0,EKSD22-20-P11.32,2.0
656.0,G-SPEX13-90-P10.2-W7.2,1.0
657.0,G-SPEX13-90-P10.2-W7.2,3.0
658.0,G-SPR10-LC75-P6.5-W4.0-R0.5,2.0
659.0,G-SPR13-80-P9.3-W5.3-R1.0,1.0
660.0,EKSD25-20-P13.35,2.0
661.0,EKDE22-20-P12.45-W7.3,2.0
662.0,G-SPRL10-80-P9-W5-R1.0,2.0
663.0,G-SPRL10-85-P7.04-W3.54-R1.02,2.0
664.0,G-SPRL10-90-P9.1-W5.1-R1.0,1.0
665.0,G-SPRL10-LC75-P6.5-W4.0-R0.5,1.0
666.0,G-SPRL10-LC75-P6.5-W4.0-R0.5,1.0
667.0,G-SPRL10-LC75-P6.5-W4.0-R0.5,1.0
668.0,G-SPRL13-60-P9.10-W5.1-R0.5,2.0
669.0,G-SPRL13-LC62-P9.15-W5.15,2.0
670.0,G-SPRS20-80-P15.28-W8-R1,2.0
671.0,G-SPRX10-95-P9.1-W5.1-R0.8,1.0
672.0,G-SPRX13-72-P9.1-W5.1-R0.3,3.0
673.0,G-SPRX13-85-P9.06-W5.6-R0.53,1.0
674.0,G-SPRX13-85-P9.06-W5.6-R0.53,1.0
675.0,G-SPRX13-LC46-P9.20-WC5.20-R1.05,1.0
677.0,G-SPRX13-LC85-P9.06-W5.6-R0.53,1.0
678.0,GW-PHRL13-90-P6.55-W4.05-R0.5,4.0
679.0,GW-SJAL10-80-P5.05,1.0
680.0,GW-SJES13-90-P9.0-W7.0,2.0
681.0,GW-SPAL8-80-P5.08,1.0
682.0,H-APJAL10-87-P6.34,1.0
683.0,H-APJAL13-87-P8.12,2.0
684.0,H-APJAL25-LC73-P23.15,2.0
685.0,H-APJAL8-90-P5.0,1.0
686.0,H-APJAL8-90-P5.06,1.0
687.0,H-APJAL8-90-P5.06,1.0
688.0,H-APJAS10-LC73-P5.0,1.0
689.0,H-APJAS10-LC73-P5.0,1.0
690.0,H-APJAS10-LC73-P8.05,1.0
691.0,H-APJAS8-80-P5.5,1.0
692.0,H-APJAS8-80-P5.6-SKC,1.0
693.0,H-APJEL13-LC87-P7.82-W6.32-SKC,2.0
694.0,H-APJEL16-80-P11.3-W8,1.0
695.0,H-APJEL16-80-P13.7-W8,1.0
696.0,H-APJEL16-80-P13.7-W8,1.0
697.0,H-APJL8-90-P5.06,1.0
698.0,HDE13-30-P7.06-W6.5,2.0
699.0,HDE13-30-P7.06-W6.5-SKC,4.0
700.0,HDE13-30-P7.0-W5.0-SKC,1.0
701.0,HDE16-30-P8.70-W6.70-SKC,2.0
702.0,HDE16-30-P8.7-W6.7-SKC,2.0
703.0,HDE20-20-P10.14-W8.14,2.0
704.0,HDE20-25-P11-W7.28,2.0
705.0,HDE20-30-P11-W7.28,1.0
706.0,HDE20-30-P9.30-W6.80-SKC,2.0
707.0,HDE20-40-P10.5-W8.3-SKC,1.0
708.0,HDE20-69-P12.3-W8.25-SKC,2.0
709.0,EKDE25-20-P14.55-W10.40,2.0
710.0,EKSD16-20-P6.40,2.0
711.0,EKSD25-20-P13.40,2.0
712.0,HDE22-25-P12.44-W7.34-SKC,2.0
713.0,HDE22-30-P12.42-W7.37-SKC,2.0
714.0,HDE22-30-P9.25-W5.25,1.0
715.0,HDE22-30-P9.35-W5.35-SKC,4.0
716.0,HDE22-32-P12.12-W7.12-SKC,2.0
717.0,HDE22-35-P11.67-W7.52,2.0
718.0,HDE22-35-P12.31-W7.24,2.0
719.0,HDE22-35-P12.31-W7.24-SKC,1.0
720.0,HDE22-35-P12.52-W7.52,1.0
721.0,HDE22-35-P9.16-W6.66-SKC,2.0
722.0,HDE22-LC26-P12.60-W7.35-BC4,2.0
723.0,HDE22-LC33-P12.20-W7.2-SKC,2.0
724.0,HDE25-.0-P12.32-W7.32,1.0
725.0,HDE25-22-P12.53-W7.2,2.0
726.0,HDE25-25-P12.5-W6.5,4.0
727.0,HDE25-25-P12.95-W8.10,1.0
728.0,HDE25-30-P11.35-W6.35,1.0
729.0,HDE25-30-P11.35-W6.35,2.0
730.0,HDE25-35-P12.36-W7.26-SKC,2.0
731.0,HDE25-35-P9.26-W6.76-SKC,2.0
732.0,HDE25-40-P12.2-W7.20-SKC,2.0
733.0,HDE25-P12.7-W7.6-SKC,1.0
734.0,HDE32-30-P11.4-W8.1,1.0
735.0,HDR13-30-P6.04-W2.94-R0.54-SKC,1.0
736.0,HDR13-30-P6.78-W4.28-R0.64,2.0
737.0,HDR13-30-P6.78-W4.28-R0.64,2.0
738.0,HDR16-30-P9.22-W5.22-W0.86-SKC,1.0
739.0,HDR20-30-P9.3-W5.3-R0.65-SKC,1.0
740.0,HDR20-35-P9.16-W4.66-R1.16-SKC,4.0
741.0,HDR20-35-P9.23-W4.73-R1.12-SKC,1.0
742.0,HDR20-35-P9.26-W5.26-R0.96,1.0
743.0,HDR20-35-P9.33-W5.33-R0.92-SKC,1.0
744.0,HDR22-35-P9.33-W5.33-R0.66-SKC,1.0
745.0,HDR25-30-P10.12-W5.12-R0.62-SKC,4.0
746.0,HDR25-32-P9.20-W5.20-R1.11,3.0
747.0,HDR25-32-P9.22-W5.22-R1.11-SKC,2.0
748.0,HPEL16-110.0-P10.40-W8.08,1.0
749.0,H-PJAS20-70-16.0,2.0
750.0,H-PJEL13-80-P11.2-W8.0,1.0
751.0,H-PJEL20-80-P16.4-W10.0,1.0
752.0,H-SJAL8-80-P4.96,1.0
753.0,H-SJAS13-70-P10.02,1.0
754.0,H-SJAS8-LC85-P5.6,2.0
755.0,H-SPAS10-70-P6.03,1.0
756.0,H-SPAS10-80-P8.0,1.0
757.0,H-SPEL-C13-LC125-P10.05-W8.05,1.0
758.0,KDES20-25-P10.07-W8.07,1.0
759.0,KDES20-25-P10.07-W8.07,3.0
760.0,KDR22-25-P9.6-W9.6-R2.35,4.0
761.0,KSD16-25-P8.12,3.0
762.0,MGD13-25-P6.07,1.0
763.0,MH22-30-P13.8,1.0
765.0,MHD10-30-P50,1.0
766.0,MHD10-35-P5.26,1.0
767.0,MHD10-35-P5.34,1.0
768.0,MHD10-LC34-P5.44,1.0
769.0,MHD13-20-P6.3,1.0
770.0,MHD13-25-P5.17,1.0
771.0,MHD13-30-P3.8,1.0
772.0,MHD13-30-P3.80,1.0
773.0,EKDE20-20-P11.28-W7.13,2.0
774.0,MHD13-30-P5.95-SKC,3.0
776.0,EKDR20-20-P8.55-W6.40-R0.60,1.0
779.0,MHD13-30-P6.95,1.0
780.0,MHD13-30-P6.95,1.0
781.0,SJEL-C38-90-P31.93-W30.00,2.0
782.0,MHD13-35-P5.66,1.0
783.0,MHD13-35-P5.66,1.0
784.0,MHD13-35-P5.66,1.0
785.0,MHD13-35-P5.66,1.0
786.0,MHD13-35-P5.66,1.0
787.0,MHD13-35-P5.66,3.0
788.0,MHD13-35-P5.86,1.0
789.0,MHD13-35-P5.86,1.0
790.0,SJAL8-90-P5.00,2.0
791.0,MHD16-20-P6.7,1.0
792.0,MHD16-23-P6.6,2.0
793.0,MHD16-25-P9.22-KC,1.0
794.0,SJEL-C38-90-P37.00-W34.00,2.0
795.0,MHD16-30-P5.64-SKC,2.0
796.0,MHD16-30-P6.18,1.0
797.0,MHD16-30-P6.4,1.0
798.0,MHD16-30-P6.65,2.0
799.0,MHD16-30-P6.8,1.0
801.0,MHD16-30-P6.80,1.0
802.0,MHD16-30-P6.82,1.0
803.0,MHD16-30-P6.9,1.0
804.0,MHD16-30-P8.25,1.0
805.0,SJEL 16-80-P14.15-W10.00-SKC,2.0
806.0,SJEL16-90-P11.15-W7.00-SKC,2.0
807.0,APJRL13-90-P9.15-W8.00-R2.5-SKC,2.0
808.0,SJRL16-100-P7.00-W7.00-R0.5-SKC,3.0
809.0,MHD16-30-P8.36-KC,1.0
810.0,APJAL16-90-P12.00,3.0
811.0,MHD16-30-P8.45,2.0
812.0,MHD16-30-P8.69,1.0
813.0,MHD16-30-P8.69,2.0
814.0,MHD16-31.5-P7.15-SKC,2.0
815.0,MHD16-31-P6.2,2.0
816.0,MHD16-32-P6.28,1.0
817.0,MHD16-32-P6.28,1.0
818.0,MHD16-32-P6.66,1.0
819.0,MHD16-32-P6.66,1.0
820.0,APJAL20-100-P14.15,2.0
821.0,MHD16-35-P5.46,1.0
822.0,MHD16-35-P6.06,3.0
823.0,MHD16-35-P6.09,4.0
824.0,MHD16-35-P6.15,5.0
825.0,MHD16-35-P6.28,1.0
826.0,MHD16-35-P6.37,1.0
827.0,MHD16-35-P6.72,2.0
828.0,MHD16-35-P6.81,3.0
829.0,MHD16-35-P6.9,3.0
830.0,MHD16-35-P8.09,1.0
831.0,MHD16-35-P8.18-SKC,1.0
832.0,MHD16-35-P8.3,1.0
833.0,MHD16-35-P8.35,1.0
834.0,MHD16-35-P8.35,2.0
835.0,MHD16-35-P8.38,1.0
836.0,MHD16-35-P8.38,1.0
837.0,MHD16-40-P6.6,1.0
838.0,MHD16-40-P8.5,1.0
839.0,APJEL20-90-P16.15-W11.00-SKC,2.0
840.0,MHD16-45-P9.13,1.0
841.0,MHD16-69-P7.25,1.0
842.0,MHD16-69-P7.25,1.0
843.0,SJAL16-90-P11.00,3.0
844.0,MHD20-16-P8.1,1.0
845.0,MHD20-20-P9.6,1.0
846.0,MHD20-25-P8.3,0.0
847.0,MHD20-25-P8.33,1.0
848.0,MHD20-25-P8.35,2.0
849.0,MHD20-25-P8.4,2.0
850.0,MHD20-30-P10.08,1.0
851.0,MHD20-30-P10.70,1.0
852.0,MHD20-30-P11.44,1.0
854.0,MHD20-30-P8.13,1.0
855.0,MHD20-30-P8.37,3.0
856.0,MHD20-30-P8.8,1.0
857.0,MHD20-30-P8.88,1.0
859.0,MHD20-35-P10.3,3.0
860.0,MHD20-35-P10.48,1.0
861.0,SJEL16-90-P12.15-W7.00-SKC,3.0
862.0,MHD20-35-P10.48,9.0
863.0,APJAL13-90-P7.00,2.0
864.0,MHD20-35-P8.15,2.0
865.0,MHD20-35-P8.21,3.0
866.0,MHD20-35-P8.23,1.0
867.0,MHD20-35-P8.36,1.0
868.0,MHD20-35-P8.38,1.0
869.0,MHD20-35-P8.45,3.0
870.0,MHD20-35-P8.9,1.0
872.0,MHD20-40-P8.45,2.0
873.0,MHD20-40-P8.6,1.0
874.0,APJAL16-100-P11.00,3.0
875.0,MHD20-40-PC6.7-SKC,1.0
876.0,MHD20-45-P10.13,1.0
877.0,MHD20-69-P8.25,1.0
878.0,MHD20-69-P8.25,1.0
879.0,MHD20-LC38-P8.56,1.0
880.0,MHD22-16-P9.25,1.0
881.0,MHD22-20-P13.26,1.0
882.0,MHD22-20-P13.45,1.0
884.0,MHD22-30-P11.44,1.0
885.0,MHD22-30-P11.44,2.0
886.0,MHD22-30-P12.08,1.0
887.0,MHD22-30-P12.68,1.0
888.0,MHD22-30-P12.78,5.0
889.0,MHD22-30-P12.8,1.0
890.0,MHD22-30-P12.8,2.0
891.0,MHD22-30-P12.9,1.0
892.0,MHD22-30-P12.9,2.0
893.0,MHD22-30-P13.25,1.0
894.0,MHD22-30-P8.15,1.0
895.0,MHD22-30-P8.15,1.0
896.0,MHD22-30-P8.32,1.0
897.0,MHD22-30-P8.35,2.0
898.0,MHD22-30-P8.35,2.0
899.0,MHD22-30-P9.16,1.0
900.0,MHD22-30-P9.8,1.0
901.0,MHD22-35-P10.12,1.0
902.0,MHD22-35-P10.48,1.0
903.0,MHD22-35-P10.48,1.0
904.0,MHD22-35-P10.48,2.0
905.0,MHD22-35-P12.24,1.0
906.0,SJAL10-90-P7.00,2.0
907.0,MHD22-35-P8.2,1.0
908.0,MHD22-35-P8.21,1.0
909.0,MHD22-35-P8.25,1.0
910.0,MHD22-35-P8.25,2.0
911.0,MHD22-35-P8.25,3.0
912.0,MHD22-35-P9.1,1.0
913.0,MHD22-35-P9.16,2.0
914.0,MHD22-40-PC7.72-SKC,1.0
915.0,MHD22-64.6-P12.25-SKC,1.0
916.0,MHD22-64.6-P12.75-SKC,1.0
917.0,MHD22-LC38-P8.64,2.0
918.0,MHD25-20-P11.7,1.0
919.0,MHD25-25-P10.58,1.0
920.0,MHD25-30-P10.08,3.0
921.0,MHD25-30-P10.65,1.0
922.0,MHD25-30-P10.65,2.0
923.0,MHD25-30-P10.65,4.0
924.0,MHD25-30-P10.8,1.0
925.0,MHD25-32-P13.13,6.0
926.0,MHD25-35-P13.38,3.0
927.0,MHD25-40-P10.25,2.0
928.0,MHD25-45-P15,2.0
929.0,MHD25-45-P15.0,2.0
930.0,MHD38-30-P26,1.0
931.0,MHD8-35-P4,1.0
932.0,MPHAL20-96-P14,2.0
933.0,MSD13-LC13-P6.58,1.0
934.0,MSD13-LC13-P6.58-PC,1.0
935.0,MSD16-16-P8.09,1.0
936.0,MSD16-20-P6.4,1.0
937.0,MSD16-20-P7.4,3.0
938.0,MSD16-20-P8.1,1.0
939.0,MSD16-25-P6.87,1.0
940.0,MSD16-25-P6.87,1.0
941.0,MSD16-25-P6.87,1.0
942.0,MSD16-25-P6.87,1.0
943.0,MSD16-25-P6.87,1.0
944.0,MSD16-25-P6.87,1.0
945.0,MSD16-25-P8.24,2.0
946.0,MSD16-25-P9.22,1.0
947.0,MSD16-30-P6.22,1.0
948.0,MSD16-30-P7.27,1.0
949.0,MSD16-30-P8.23,1.0
950.0,MSD16-30-P8.23,2.0
951.0,MSD16-30-P8.28,2.0
952.0,MSD16-35-P6.3,2.0
953.0,MSD16-35-P7.3,1.0
954.0,MSD16-35-P7.45,1.0
955.0,MSD16-35-P8.27,1.0
956.0,MSD16-35-P9.36,1.0
957.0,MSD16-40-P6.3,4.0
958.0,MSD16-LC12-P6.7,1.0
959.0,MSD16-LC13-P8.45,1.0
960.0,MSD16-LC13-P8.45,1.0
961.0,MSD20-20-P9.6,1.0
962.0,MSD20-22-P9.47,1.0
963.0,MSD20-30-P8.56,1.0
964.0,MSD20-30-P9.28,3.0
965.0,MSD20-35-P10.1,1.0
966.0,SPAL6-LC75-P2.0-KC,2.0
967.0,MSD20-40-P10.56,3.0
968.0,MSD20-LC10-P6.28,1.0
969.0,MSD20-LC10-P6.28,1.0
970.0,MSD20-LC10-P6.28,5.0
971.0,MSD20-LC10-P6.28-PC,1.0
972.0,MSD20-LC14-P9.6,1.0
973.0,MSD22-16-P11.9,1.0
974.0,MSD22-25-P11.15,1.0
975.0,MSD25-20-P8.6-KC,2.0
976.0,MSD25-20-PC8.6-KC,2.0
977.0,MSD25-20-PC8.6-KC,2.0
978.0,MSD25-25-P11.1,1.0
979.0,MSD32-25-P16.20,2.0
980.0,MSD32-25-P16.24,1.0
981.0,MSD32-25-P16.24,3.0
982.0,MSD32-25-P16.24,4.0
983.0,MSD32-30-P13.35,1.0
984.0,MSD32-35-P18.22,1.0
985.0,PJAL10-77-P8.05,2.0
986.0,PJAL13-80-P10.17,1.0
987.0,PJAL16-80-10.5,1.0
988.0,PJAL8-80-P5.56,1.0
989.0,PJAL8-80-P5.56,1.0
990.0,PJAL8-80-P5.56,1.0
991.0,PJAL8-80-P5.56,1.0
992.0,PJAL8-80-P5.56,2.0
993.0,PJAS13-60-P7.2,1.0
994.0,PJAS13-60-P7.2,1.0
995.0,PJAS13-60-P7.2,1.0
996.0,PMSD16-25-P8.15,1.0
997.0,PMSD16-25-P8.15,1.0
998.0,SDE16-30-P8.25-W6.25,1.0
999.0,SDE16-30-P8.25-W6.25,1.0
1000.0,SDE20-25-P10.3-W8.24,2.0
1001.0,SDE20-30-P12.2-W8.1-KC,1.0
1002.0,SDE22-22-P12.29-W10.29,2.0
1003.0,SDE22-35-P12.4-W7.4,5.0
1004.0,SDE25-20-P10.5-V,2.0
1005.0,SDE25-20-P10.5-W8.6,2.0
1006.0,SDE25-20-P10.5-W8.6,3.0
1007.0,SDE25-20-P10.5-W8.6-KC,2.0
1008.0,SDE25-22-P14.7-W6.7,1.0
1009.0,SDE25-32-P14.7-W6.7-KC1,1.0
1010.0,SDE25-40-P14.46-W6.46,1.0
1011.0,SDE25-40-P14.46-W6.46,2.0
1012.0,SDE25-LC28-P15.5-W7.6,1.0
1013.0,SDR22-35-P9.26-W5.26,2.0
1014.0,SHEL20-90-P14.5-W6.5,1.0
1015.0,SHJES13-80-P11.15-W7.5,1.0
1016.0,SJAL10-100-P6.03-SKC,3.0
1017.0,SJAL10-100-P6.05,1.0
1018.0,SPAL8-80-P3.26,2.0
1019.0,SJAL10-45-P8.05,2.0
1020.0,SJAL10-45-P9.1,1.0
1021.0,KKSD10-20-P4.14,2.0
1022.0,SJAL10-50-P8.05,3.0
1023.0,SJAL10-50-P8.1,1.0
1024.0,SJAL10-53-P8.05,2.0
1025.0,SJAL10-54-P8.03,3.0
1027.0,KSDS13-16-P3.46,2.0
1029.0,SJAL10-57-P9.1,3.0
1030.0,SJAL10-60-P6.5,1.0
1031.0,SJAL10-60-P6.5,1.0
1032.0,SJAL10-60-P6.5,2.0
1033.0,SJAL10-60-P6.68,1.0
1034.0,SJAL10-60-P8.0,3.0
1035.0,SJAL10-60-P8.05,1.0
1036.0,SJAL10-60-P8.05,1.0
1037.0,SPAS6-60-P3.26-SKC,2.0
1038.0,SPAL6-LC75-P2.0,2.0
1039.0,SJAL10-60-P9.18,1.0
1040.0,SJAL10-60-P9.99,1.0
1041.0,SJAL10-60-P9.99,2.0
1042.0,SJAL10-64-P9.15,2.0
1043.0,SJAL10-66-P9.0,2.0
1044.0,SJAL10-70-P6.05,1.0
1045.0,SJAL10-70-P6.1,1.0
1046.0,SJAL10-70-P6.5,1.0
1047.0,SJAL10-70-P6.55,1.0
1048.0,SJAL10-70-P7.0,3.0
1050.0,SJAL10-70-P8.0,1.0
1052.0,SJAL10-70-P8.0,2.0
1053.0,SSJAL 16-70-P12.1,2.0
1054.0,APJAL20-90-P15.00,2.0
1055.0,SJRL16-80-P10.00-W10.00-R1.00-SKC,2.0
1056.0,SJAL10-70-P8.50,1.0
1057.0,SJAL10-70-P8.8,1.0
1058.0,SJAL10-70-P8.8,1.0
1059.0,SJAL10-70-P8.8,4.0
1060.0,SJAL10-70-P8.85,1.0
1061.0,SJAL10-70-P8.85,2.0
1062.0,SJAL10-70-P8.85,2.0
1063.0,SJAL10-70-P9.15,1.0
1064.0,SJAL10-73-P6.05,2.0
1065.0,SJAL10-75-P8.16,2.0
1066.0,SJAL10-80-80-P6.28,1.0
1067.0,SJAL10-80-P4.56,1.0
1068.0,SJAL10-80-P4.56,1.0
1069.0,SJAL10-80-P4.56,1.0
1070.0,SJAL10-80-P4.56,1.0
1071.0,SJAL10-80-P4.56,1.0
1072.0,SJAL10-80-P4.56,1.0
1073.0,SJAL10-80-P4.56,2.0
1074.0,SJAL10-80-P5.05-SKC,1.0
1075.0,SJAL10-80-P5.05-SKC,1.0
1076.0,SJAL10-80-P6.08,3.0
1077.0,SJAL10-80-P6.28,1.0
1078.0,SJAL10-80-P6.3,1.0
1079.0,SJAL10-80-P6.3,1.0
1080.0,SJAL10-80-P6.42-SKC,1.0
1081.0,SJAL10-80-P6.43-SKC,1.0
1082.0,SJAL10-80-P6.5,1.0
1083.0,SJAL10-80-P6.5,1.0
1084.0,SJAL10-80-P6.5,1.0
1086.0,APJAL13-90-P10.00,2.0
1090.0,ELJAS10-80-P5.40,2.0
1091.0,APJAL10-90-P7.00-KC,2.0
1092.0,APJAS10-100-P7,2.0
1093.0,SJAL13-90-P10.00,2.0
1094.0,SJAL10-80-P8.2,1.0
1095.0,SPAL6-80-P3.26-SKC,2.0
1096.0,EBJAS13-90-P6.05,2.0
1097.0,SJAL10-80-P8.34,1.0
1098.0,SJAL10-80-P8.8,1.0
1099.0,APAS8-90-P5-SKC,2.0
1100.0,SJAL10-80-P9.05,1.0
1101.0,SJAL10-80-P9.05,0.0
1102.0,APJAS16-100-P13.05,2.0
1103.0,SJRL16-80-P13.15-W6.00-R1.00-SKC,2.0
1104.0,APJEL16-90-P14.15-W10.00-SKC,2.0
1105.0,SJAL13-80-P7.00-SKC,2.0
1106.0,APES13-90-P12.15-W7-SKC,2.0
1107.0,APJAL13-90-P8.00,2.0
1108.0,APJAS10-80-P7,2.0
1109.0,SJAL10-90-P8.0,1.0
1110.0,SJAL10-90-P8.0,0.0
1111.0,EBJAL13-90-P8.00,2.0
1112.0,SJAL16-90-P13.00,2.0
1113.0,APJRL13-90-P8.15-W6.00-R0.40-SKC,2.0
1114.0,SJAL10-LC111-P6.5-SKC,1.0
1115.0,SJAL10-LC46-P9.56,1.0
1118.0,SJAL10-LC58-P9.55,1.0
1119.0,SJAL10-LC65-P5.0,1.0
1120.0,SJAL10-LC65-P5.01,1.0
1121.0,ELJAL13-90-P8.00,2.0
1122.0,SJAL10-LC68-P8.10,1.0
1123.0,SJAL10-LC73-P6.05,1.0
1124.0,SJAL10-LC78-P5.5,1.0
1125.0,SJES 13-90-P10.15-W7.00-SKC,2.0
1126.0,SJAL10-LC78-P6.1,6.0
1127.0,SJAL10-LC79-P6.1,1.0
1128.0,SJAL10-LC83-P8.8,1.0
1129.0,SJAL10-LC85-P6.10,1.0
1130.0,SJAL10-LC85-P6.48,1.0
1131.0,SJAL13-90-P10.00,2.0
1132.0,SJAL10-LC98-P6.05,1.0
1133.0,SJAL10-LC98-P6.05,1.0
1134.0,APJAL16-90-P13.00,3.0
1135.0,SJAL13-43-P10.28,1.0
1136.0,SJAL13-43-P10.28,9.0
1137.0,SJAL13-46-P7.97,1.0
1138.0,SJAL13-46-P8.02,1.0
1139.0,SJAL13-46-P9.56-SKC,1.0
1140.0,SJAL13-50-P10.28,3.0
1141.0,SJAL13-50-P10.28-SKC,3.0
1142.0,SJAL13-50-P7.0-W6.02,2.0
1143.0,SJAL13-53.7-P8.15,4.0
1144.0,SJAL13-57-P11,1.0
1145.0,SJAL13-60-P10.05,1.0
1146.0,SJAL13-60-P10.5,1.0
1147.0,SJAL13-60-P10.58,1.0
1148.0,SJAL13-60-P12.99,4.0
1149.0,SJAL13-60-P8.03,2.0
1150.0,SJAL13-60-P8.16,1.0
1151.0,SJAL13-60-P9,2.0
1152.0,SJAL13-64-P10.56,1.0
1153.0,SJAL13-64-P8.16,1.0
1155.0,SJAL13-65-P12.05,1.0
1156.0,SJAL13-65-P8.55,1.0
1157.0,SJAL13-67-P10.05,2.0
1158.0,SJAL13-70-P10.0,2.0
1159.0,SJAL13-70-P12.05,1.0
1160.0,SJAL13-70-P6.5,1.0
1161.0,SJAL13-70-P6.5,3.0
1162.0,SJAL13-70-P6.58,2.0
1164.0,SJAL13-72-P12.05,2.0
1166.0,APJAS10-100-P8,2.0
1167.0,SJAL13-77-P12.8,11.0
1168.0,SJAL13-77-P9.6,1.0
1169.0,SJAL13-78-P10.05,2.0
1170.0,SJAL13-80-P10.0,1.0
1171.0,SJAL13-80-P10.0,1.0
1173.0,SJAL13-80-P10.05-SKC,1.0
1175.0,SJAL13-80-P10.10,1.0
1176.0,SJAL13-80-P10.18,1.0
1177.0,SJAL13-80-P6.04,1.0
1178.0,SJAL13-80-P6.05,4.0
1179.0,SJAL13-80-P6.10,1.0
1180.0,SJAL13-80-P6.5,1.0
1181.0,SJAL13-80-P6.5,2.0
1182.0,SJAL13-80-P6.58,2.0
1184.0,APJES13-80-P12.15-W7-SKC,2.0
1185.0,SJAL13-80-P8.5,5.0
1186.0,APJEL13-90-P12.15-W7.00-SKC,2.0
1187.0,SJAL16-80-P12.00,2.0
1188.0,SJAL13-80-P9.15,1.0
1189.0,SJAL13-82-P10.2,1.0
1190.0,SJRL13-80-P9.15-W8.00-R1.00-SKC,2.0
1191.0,SJAL13-85-P8.08,1.0
1192.0,SJAL13-85-P8.08,2.0
1193.0,SJAL13-85-P8.08,2.0
1194.0,SJAL10-80-P6.00,2.0
1195.0,SJAL13-90-P10.0,1.0
1196.0,SJAL13-90-P10.1-SKC,1.0
1197.0,SJAL13-90-P11.6,1.0
1198.0,SJAL13-90-P9.0,1.0
1199.0,SJAL13-90-P9.0,1.0
1200.0,SJAL13-95-P8.05,1.0
1201.0,SJAL13-98-P8.05,1.0
1202.0,SJAL13-LC46-P7.97,1.0
1203.0,SJAL13-LC47-P8.0,1.0
1204.0,SJAL13-LC47-P8.0,1.0
1205.0,SJAL13-LC58-P10.0,1.0
1206.0,SJAL13-LC58-P10.05,1.0
1207.0,SJAL13-LC66-P9.6,1.0
1208.0,SJAL13-LC68-P11.2,1.0
1209.0,SJAL13-LC95-P7.20,1.0
1210.0,SJAL16+-70-P15.99,2.0
1211.0,SJAL16-59-P14.05,2.0
1212.0,SJAL16-60-P14.05,2.0
1213.0,SJAL16-63-P14.5,2.0
1214.0,SJAL16-64-P14.5,2.0
1215.0,SJAL16-75-P10.05,3.0
1216.0,SJAL16-75-P10.26,3.0
1217.0,SJAL16-80-P13,2.0
1218.0,SJAL16-80-P13.0,2.0
1219.0,SJAL16-80-P13.08,1.0
1220.0,SJAL16-80-P13.08,2.0
1221.0,SJAL16-80-PC8.34,1.0
1222.0,SJAL16-83-P12.5,2.0
1223.0,SJAL16-85-P13.1-SKC,1.0
1224.0,SJAL16-86-P13.1,2.0
1225.0,SJAL16-86-P13-SKC,1.0
1226.0,SJAL16-90-P10.05,1.0
1227.0,SJAL16-90-P10.05,3.0
1228.0,SJAL13-80-P9.00,2.0
1229.0,SJAL13-80-P11.00,2.0
1230.0,SJAL-C32-90-P30.05,2.0
1231.0,SJAL16-LC85-PC8.76,1.0
1232.0,SJAL20-60-P14.75,1.0
1233.0,SJAL20-73-P16,1.0
1235.0,SJAL20-80-P19.90-KC,2.0
1236.0,SJAL20-90-P17.05,2.0
1237.0,SJAL20-LC73-P16.00,2.0
1239.0,SJAL6-65-P4.03,1.0
1240.0,SJAL6-LC47-P5.0,1.0
1242.0,SJAL8-45-P7.2,2.0
1243.0,SJAL8-47-P6.6,3.0
1244.0,SJAL8-60-P6.0,1.0
1245.0,SJAL8-60-P6.1,1.0
1246.0,SJAL8-60-P6.1,1.0
1247.0,SJAL8-60-P6.7,1.0
