存货编号,规格型号,期末
161.0,APJAL13-LC79-P9.15-SKC,1.0
162.0,APJAL13-LC79-P9.15-SKC,1.0
163.0,APJAL13-LC92-P7.0,1.0
164.0,APJAL16-130-P10.0,3.0
165.0,APJAL16-65-P12,1.0
166.0,APJAL16-65-P12,1.0
167.0,EKSD20-20-P8.13,2.0
168.0,EKSD20-20-P7.3,2.0
169.0,EKDR22-20-P10.13-W10.13-R1.06,2.0
171.0,APJAL16-80-P11.5,1.0
172.0,APJAL16-80-P13.0,4.0
176.0,APJAL20-90-P14.1,3.0
177.0,APJAL20-90-P16.1,1.0
178.0,APJAL20-90-P16.1,2.0
179.0,APJAL8-70-P6.1,1.0
180.0,APJAL8-70-P6.28,1.0
181.0,APJAL8-70-P6.3,1.0
182.0,APJAL8-80-P6.00,1.0
183.0,EKDE22-20-P12.55-W7.40,2.0
184.0,EKSD16-LC10-P8.40,2.0
185.0,APJAL8-90-P5.06,1.0
186.0,APJAL8-90-P5.06,1.0
187.0,APJAL8-90-P5.06,5.0
188.0,APJAL8-LC50-P6.4,1.0
189.0,APJAL8-LC67-P6.3,1.0
190.0,APJAL8-LC67-P6.3,1.0
191.0,APJAL8-LC79-P5.26,1.0
192.0,EKSD25-20-P14.47,2.0
193.0,EKDE25-20-P12.28-W7.13,3.0
195.0,APJAS10-50-P7.1,1.0
196.0,APJAS10-50-P7.1,1.0
197.0,APJAS10-70-P7.1,1.0
198.0,APJAS10-70-P8.15,1.0
199.0,EKSD16-20-P7.07,2.0
200.0,EKSD20-20-P7.3,2.0
201.0,EKSD32-20-P18.47,2.0
202.0,APJAS10-LC64-P8.65,1.0
203.0,APJAS10-LC97-P7.25,1.0
204.0,APJAS13-124-P9.95,1.0
205.0,APJAS13-60-P6.1,1.0
206.0,APJAS13-60-P6.1,1.0
207.0,APJAS13-60-P6.2,2.0
208.0,APJAS13-60-P9.15,1.0
209.0,APJAS13-80-P11.1,1.0
210.0,APJAS13-80-P11.9,1.0
211.0,APJAS13-80-P11.9,4.0
212.0,APJAS16-80-P14.15,1.0
213.0,APJAS16-80-P14.5,1.0
214.0,APJAS16-80-P14.5,3.0
215.0,APJAS25-80-P24.18,4.0
216.0,APJAS8-80-P5.5-P7.1,1.0
217.0,APJEL10-70-P7.8-W6.3-SKC,1.0
218.0,APJEL10-80-P9.05-W5.05,1.0
219.0,APJEL10-80-P9.05-W5.05,1.0
220.0,APJEL10-80-P9.05-W5.05-SKC,1.0
221.0,APJEL10-80-P9.05-W5.05-SKC,1.0
222.0,APJEL10-80-P9.0-W5.0-SKC,1.0
224.0,APJEL13-105-P12.08-W7.08-SKC,4.0
225.0,APJEL13-108-P12.18-W7.08-SKC,9.0
226.0,APJEL13-110-P12.2-W6.2-SKC,4.0
227.0,APJEL13-119-P12.06-W7.06,2.0
228.0,APJEL13-123-P12.06-W8.06,2.0
229.0,EKSD16-20-P6.23,2.0
230.0,APJEL13-70-P12-W7,2.0
231.0,APJEL13-75-P12.0-W7.0,1.0
232.0,APJEL13-80-P11.05-W6.05,2.0
233.0,APJEL13-80-P11.05-W6.05-SKC,1.0
234.0,APJEL13-80-P11.05-W6.05-SKC,1.0
235.0,APJEL13-80-P12.16-W7.08-SKC,1.0
236.0,APJEL13-80-P12.16-W7.08-SKC,3.0
237.0,EKSD16-20-P5.53,2.0
238.0,EKDE25-20-P14.39-W10.24,2.0
240.0,EKDR25-20-P13.28-W6.13-R1.06,2.0
241.0,APJEL13-80-P9.41-W8.0-SKC,2.0
242.0,APJEL13-87-P12.15-W7.15-SKC,1.0
243.0,APJEL13-90-P7.82-W6.32,3.0
244.0,APJEL13-LC108-P11.95-W6.65-SKC,2.0
245.0,APJEL13-LC65-P8.1-W6.1-SKC,1.0
246.0,APJEL13-LC75.5-P11.58-W7.58-SKC,3.0
247.0,APJEL16-100-P14.1-W12.1,2.0
248.0,APJEL16-108-P12.08-W7.08-SKC,1.0
249.0,APJEL16-108-P12.08-W7.08-SKC,1.0
250.0,APJEL16-115-P12.06-W7.06-SKC,1.0
251.0,APJEL16-115-P12.06-W7.06-SKC,1.0
252.0,APJEL16-115-P12.06-W7.06-SKC,2.0
253.0,APJEL16-126-P13.1-SKC,3.0
257.0,APJEL16-130-P13.58-W10.9,2.0
258.0,APJEL16-130-P14.06-W10.06-SKC,1.0
259.0,APJEL16-65-P12.12-W10.08-SKC,1.0
260.0,APJEL16-65-P12.12-W8.08-SKC,1.0
261.0,APJEL16-73-P14.15-W12.15-SKC,1.0
263.0,APJEL16-95-P14-W6-SKC,3.0
264.0,APJEL16-LC55-P15.46-W12.10-SKC,1.0
265.0,APJEL20-123-P12.08-W8.08,2.0
266.0,APJEL20-123-P12.1-W8.1,2.0
267.0,EKSD20-20-P10.40,2.0
268.0,APJEL20-125-P12.18-W8.18-SKC,4.0
269.0,APJEL20-130-P18.08-W10.08-SKC,2.0
270.0,APJEL20-130-R18.08-W10.08-SKC,5.0
271.0,APJEL20-82-P17.7-W11.2,1.0
272.0,APJEL20-82-P17.7-W11.2,1.0
273.0,APJEL20-82-P17.7-W8.6,1.0
274.0,APJEL20-82-P17.7-W8.6,1.0
275.0,APJEL20-LC55-P18.46-W14.16-SKC,1.0
276.0,APJES10-64-P9.65-W8.65,1.0
277.0,APJES10-70-P7.78-W6.28,1.0
278.0,APJES10-70-P7.78-W6.28,1.0
281.0,APJES13-80-P10.1-W8.0,1.0
282.0,APJES13-97-P12.15-W7.15-SKC,1.0
283.0,APJES13-LC75-P12-W7,1.0
284.0,APJES16-70-P13.1-W7.5-KC90,1.0
285.0,APJES16-70-P13.1-W7.5-KC90,1.0
286.0,APJES16-70-P13-W7.5-KC90,1.0
287.0,APJES16-90-P13.58-W7.58-SKC,3.0
288.0,APJES16-LC54-P9.6-W8.6,1.0
289.0,APJRL13-120-P8.08-W6.08-R0.5,1.0
293.0,APJRL16-120-P8.08-W8.08-R1.0-SKC,1.0
294.0,APJRS13-65-P9-W6.05-R1.0,2.0
295.0,APJRS16-70-P10.1-W8.1,1.0
296.0,APJRS16-70-P10.1-W8.1-SKC,2.0
297.0,EKSD20-20-P7.3,2.0
298.0,APRL13-80-P9.56-W5.56-R1.03-SKC,1.0
299.0,APRL13-LC94-P8.46-W6.16-R0.58-SKC,2.0
300.0,APRS16-120-P8.08-W8.08-R1.0,2.0
301.0,APRS16-120-P8.08-W8.08-R1.0-SKC,7.0
302.0,APRS16-120-P8.08-W8.08-R1-SKC,1.0
303.0,ASD16-30-P6.12,3.0
304.0,ASD20-16-P9.1,4.0
305.0,ASD20-16-P9.18,2.0
306.0,ASD20-30-P8.15,1.0
307.0,ASD20-30-P8.15,1.0
308.0,ASD20-30-P8.15,2.0
309.0,ASDE25-16-P11.56-W8.86,3.0
310.0,ASDE25-20-P10.5-W8.6,2.0
311.0,ASDE25-20-P10.5-W8.6,4.0
312.0,A-SJAL8-50-P6.05,1.0
313.0,A-SJAX10-65-P6.55,4.0
314.0,A-SJAX10-LC65-P6.55,1.0
315.0,B-EBJAXS10-90-P5.5,1.0
316.0,EBJAS20-90-P16,1.0
317.0,EBPAL10-80-P7.1,1.0
318.0,EDE22-30-P12.26-W7.16-SKC,1.0
319.0,EHD20-30-P9.9-W8.88-SKC,1.0
320.0,EHDE13-20-P7.8-W7.3-SKC,8.0
322.0,EHDE20-30-P9.30-W6.80-SKC,1.0
323.0,EHDE22-30-P12.30-W7.3-SKC,1.0
324.0,EHDE22-30-P12.96-W7.4-SKC,1.0
325.0,EHDE22-35-P12.35-W7.2,2.0
327.0,EHDE25-30-P15.96-W12.58-SKC,1.0
328.0,EHDE25-LC34.2-P12.20-W7.2-SKC,1.0
329.0,EHDR20-25-P8.78--W7.28-SKC,2.0
330.0,EHDR22-30-P9.3-W5.3-R0.65,2.0
332.0,EKD25-20-P14.49-W12.24,1.0
333.0,EKDE16-20-P6.1-W5.1-R0.5,2.0
334.0,EKDE16-20-P8.35-W6.05,1.0
335.0,EKDE20-20-P10.25-W8.15,3.0
